Gene	Chr_Pos	UniProtID	Descriptor	EC
HDAC11	3p25.1	Q96DB2	Histone deacetylase 11 (HD11)	EC 3.5.1.98
HEMK1	3p21.3	Q9Y5R4	MTRF1L release factor glutamine methyltransferase (HemK methyltransferase family member 1) (M.HsaHemKP) [HEMK]	EC 2.1.1.297
HGD	3q21-q23	Q93099	1,2-dioxygenase (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase) [HGO]	EC 1.13.11.5
HLTF	3q24	Q14527	transcription factor (DNA-binding protein/plasminogen activator inhibitor 1 regulator) (HIP116) (RING finger protein 80) (RING-type E3 ubiquitin transferase HLTF) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3) (Sucrose nonfermenting protein 2-like 3) [HIP116A] [RNF80] [SMARCA3] [SNF2L3] [ZBU1]	EC 2.3.2.27
HTD2	3p14.3	P86397	dehydratase type 2, mitochondrial precursor (HsHTD2) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase)	EC 4.2.1.59
HYAL1	3p21.2-p21.3	Q12794	Hyaluronidase-1 precursor (Hyal-1) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1) [LUCA1]	EC 3.2.1.35
HYAL2	3p21.3	Q12891	Hyaluronidase-2 precursor (Hyal-2) (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2) (LuCa-2) [LUCA2]	EC 3.2.1.35
HYAL3	3p21.3	O43820	Hyaluronidase-3 precursor (Hyal-3) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3) [LUCA3]	EC 3.2.1.35
IL1RAP	3q28	Q9NPH3	Interleukin-1 receptor accessory protein precursor (IL-1 receptor accessory protein) (IL-1RAcP) (Interleukin-1 receptor 3) (IL-1R-3) (IL-1R3) [C3orf13] [IL1R3]	EC 3.2.2.6
IMPDH2	3p21.2	P12268	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (Inosine-5'-monophosphate dehydrogenase type II) (IMP dehydrogenase II) (IMPDH-II) [IMPD2]	EC 1.1.1.205
IP6K1	3p21.31	Q92551	Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (Inositol hexaphosphate kinase 1) [IHPK1] [KIAA0263]	EC 2.7.4.21
KALRN	3q21.3	O60229	Kalirin (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain) [DUET] [DUO] [HAPIP] [TRAD]	EC 2.7.11.1
KAT2B	3p24	Q92831	Histone acetyltransferase KAT2B (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) [PCAF]	EC 2.3.1.57
LARS2	3p21.3	Q15031	ligase, mitochondrial precursor (Leucyl-tRNA synthetase) (LeuRS) [KIAA0028]	EC 6.1.1.4
MAP3K13	3q27	O43283	Mitogen-activated protein kinase kinase kinase 13 (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK) [LZK]	EC 2.7.11.25
MAPKAPK3	3p21.3	Q16644	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (Chromosome 3p kinase) (3pK)	EC 2.7.11.1
MCCC1	3q27	Q96RQ3	carboxylase subunit alpha, mitochondrial precursor (MCCase subunit alpha) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha) [MCCA]	EC 6.4.1.4
MCM2	3q21	P49736	replication licensing factor MCM2 (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28) [BM28] [CCNL1] [CDCL1] [KIAA0030]	EC 3.6.4.12
MECOM	3q26	Q03112	Histone-lysine N-methyltransferase MECOM (Ecotropic virus integration site 1 protein homolog) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein) (Myelodysplasia syndrome-associated protein 1) [EVI1] [MDS1] [PRDM3]	EC 2.1.1.367
MGLL	3q21.3	Q99685	lipase (MGL) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)	EC 3.1.1.23
MKRN2	3p25	Q9H000	E3 ubiquitin-protein ligase makorin-2 (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2) [RNF62] [HSPC070]	EC 2.3.2.27
MME	3q25.1-q25.2	P08473	(Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD10 antigen) [EPN]	EC 3.4.24.11
MRAS	3q22.3	O14807	protein M-Ras precursor (Ras-related protein R-Ras3) [RRAS3]	EC 3.6.5.2
MSL2	3q22.2	Q9HCI7	ubiquitin-protein ligase MSL2 (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184) [KIAA1585] [MSL2L1] [RNF184]	EC 2.3.2.27
MST1R	3p21.3	Q04912	protein receptor precursor (MSP receptor) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD136 antigen) [Contains: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain] [PTK8] [RON]	EC 2.7.10.1
MTMR14	3p26	Q8NCE2	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR14 (HCV NS5A-transactivated protein 4 splice variant A-binding protein 1) (NS5ATP4ABP1) (Myotubularin-related protein 14) (Phosphatidylinositol-3-phosphate phosphatase) (hJumpy) [C3orf29]	EC 3.1.3.95
MYLK	3q21	Q15746	light chain kinase, smooth muscle (MLCK) (smMLCK) (Kinase-related protein) (KRP) (Telokin) [Contains: Myosin light chain kinase, smooth muscle, deglutamylated form] [MLCK] [MLCK1] [MYLK1]	EC 2.7.11.18
NAA50	3q13.31	Q9GZZ1	N-alpha-acetyltransferase 50 (hNaa50p) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (NatE catalytic subunit) [MAK3] [NAT13] [NAT5]	EC 2.3.1.258
NCEH1	3q26.31	Q6PIU2	Neutral cholesterol ester hydrolase 1 (NCEH) (Acetylalkylglycerol acetylhydrolase) (2-acetyl MAGE hydrolase) (Arylacetamide deacetylase-like 1) [AADACL1] [KIAA1363]	EC 3.1.1.71
NEK10	3p24.1	Q6ZWH5	Serine/threonine-protein kinase Nek10 (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)	EC 2.7.11.1
NEK11	3q21.3	Q8NG66	Serine/threonine-protein kinase Nek11 (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	EC 2.7.11.1
NEK4	3p21.1	P51957	kinase Nek4 (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2) [STK2]	EC 2.7.11.1
NGLY1	3p24.2	Q96IV0	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (hPNGase) (N-glycanase 1) (Peptide:N-glycanase) [PNG1]	EC 3.5.1.52
NIT2	3q12.2	Q9NQR4	(Nitrilase homolog 2) [CUA002]	EC 3.5.1.3
NKTR	3p21-p23	P30414	recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) (Peptidyl-prolyl cis-trans isomerase NKTR) (PPIase) (Rotamase)	EC 5.2.1.8
NME6	3p21.3	O75414	diphosphate kinase 6 (NDK 6) (NDP kinase 6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6)	EC 2.7.4.6
NMNAT3	3q23	Q96T66	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 (NMN/NaMN adenylyltransferase 3) (Nicotinamide-nucleotide adenylyltransferase 3) (NMN adenylyltransferase 3) (Nicotinate-nucleotide adenylyltransferase 3) (NaMN adenylyltransferase 3) (Pyridine nucleotide adenylyltransferase 3) (PNAT-3) [FKSG76]	EC 2.7.7.1
NUDT16	3q21.3	Q96DE0	U8 snoRNA-decapping enzyme (IDP phosphatase) (IDPase) (Inosine diphosphate phosphatase) (Nucleoside diphosphate-linked moiety X motif 16) (Nudix motif 16) (Nudix hydrolase 16) (U8 snoRNA-binding protein H29K) (m7GpppN-mRNA hydrolase)	EC 3.6.1.64
OGG1	3p26.2	O15527	lyase [Includes: 8-oxoguanine DNA glycosylase DNA-(apurinic or apyrimidinic site) lyase (AP lyase)] [MMH] [MUTM] [OGH1]	EC 4.2.99.18
OPA1	3q28-q29	O60313	GTPase OPA1, mitochondrial precursor (Optic atrophy protein 1) [Contains: Dynamin-like GTPase OPA1, long form (L-OPA1); Dynamin-like GTPase OPA1, short form (S-OPA1)] [KIAA0567]	EC 3.6.5.5
OXSM	3p24.2	Q9NWU1	synthase, mitochondrial precursor (Beta-ketoacyl-ACP synthase)	EC 2.3.1.41
OXSR1	3p21.3-p22	O95747	Serine/threonine-protein kinase OSR1 (Oxidative stress-responsive 1 protein) [KIAA1101] [OSR1]	EC 2.7.11.1
P3H2	3q29	Q8IVL5	3-hydroxylase 2 precursor (Leprecan-like protein 1) (Myxoid liposarcoma-associated protein 4) [LEPREL1] [MLAT4]	EC 1.14.11.7
P4HTM	3p21.31	Q9NXG6	Transmembrane prolyl 4-hydroxylase (P4H-TM) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4) [PH4]	EC 1.14.11.29
PAK2	3	Q13177	kinase PAK 2 (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Contains: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]	EC 2.7.11.1
PARL	3q27.1	Q9H300	rhomboid-like protein, mitochondrial precursor (Mitochondrial intramembrane cleaving protease PARL) [Contains: P-beta (Pbeta)] [PSARL] [PRO2207]	EC 3.4.21.105
PCCB	3q21-q22	P05166	carboxylase beta chain, mitochondrial precursor (PCCase subunit beta) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	EC 6.4.1.3
PCYT1A	3q29	P49585	Choline-phosphate cytidylyltransferase A (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A) (CCT A) (CT A) (Phosphorylcholine transferase A) [CTPCT] [PCYT1]	EC 2.7.7.15
PDE12	3p14.3	Q6L8Q7	2',5'-phosphodiesterase 12 precursor (2'-PDE) (2-PDE) (Mitochondrial deadenylase)	EC 3.1.13.4
PDHB	3p14.2-p21.1	P11177	dehydrogenase E1 component subunit beta, mitochondrial precursor (PDHE1-B) [PHE1B]	EC 1.2.4.1
PDIA5	3q21.2	Q14554	A5 precursor (Protein disulfide isomerase-related protein) [PDIR]	EC 5.3.4.1
PDZRN3	3p13	Q9UPQ7	E3 ubiquitin-protein ligase PDZRN3 (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3) [KIAA1095] [LNX3] [SEMCAP3]	EC 2.3.2.27
PFKFB4	3p21-p22	Q16877	4 (6PF-2-K/Fru-2,6-P2ase 4) (PFK/FBPase 4) (6PF-2-K/Fru-2,6-P2ase testis-type isozyme) [Includes: 6-phosphofructo-2-kinase Fructose-2,6-bisphosphatase	EC 3.1.3.46)
PIK3CA	3q26.3	P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide 3-kinase alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA)	EC 2.7.11.1
PIK3CB	3q23	P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta) (Serine/threonine protein kinase PIK3CB) [PIK3C1]	EC 2.7.11.1
PIK3R4	3q21.3	Q99570	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein) [VPS15]	EC 2.7.11.1
PLA1A	3q13.13-q13.2	Q53H76	Phospholipase A1 member A precursor (Phosphatidylserine-specific phospholipase A1) (PS-PLA1) [NMD] [PSPLA1]	EC 3.1.1.111
PLAAT1	3q29	Q9HDD0	Phospholipase A and acyltransferase 1 (HRAS-like suppressor 1) (HRSL1) (Phospholipid-metabolizing enzyme A-C1) [HRASLS]	EC 3.1.1.4
PLCD1	3p21.3-p22	P51178	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	EC 3.1.4.11
PLCH1	3q25.31	Q4KWH8	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3) [KIAA1069] [PLCL3]	EC 3.1.4.11
PLD1	3q26	Q13393	D1 (PLD 1) (hPLD1) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	EC 3.1.4.4
PLOD2	3q23-q24	O00469	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor (Lysyl hydroxylase 2) (LH2)	EC 1.14.11.4
POGLUT1	3q13.33	Q8NBL1	Protein O-glucosyltransferase 1 precursor (CAP10-like 46 kDa protein) (hCLP46) (KTEL motif-containing protein 1) (Myelodysplastic syndromes relative protein) (O-glucosyltransferase Rumi homolog) (hRumi) (Protein O-xylosyltransferase POGLUT1) [C3orf9] [CLP46] [KTELC1] [MDSRP] [MDS010] [UNQ490/PRO1006]	EC 2.4.2.63
POLQ	3q13.3	O75417	DNA polymerase theta (DNA polymerase eta) [Includes: Helicase POLQ DNA polymerase POLQ (RNA-directed DNA polymerase POLQ) [POLH]	EC 2.7.7.49)
POMGNT2	3p22.1	Q8NAT1	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2) [AGO61] [C3orf39] [EOGTL] [GTDC2]	EC 2.4.1.312
PPM1L	3q25.33	Q5SGD2	Protein phosphatase 1L (Protein phosphatase 1-like) (Protein phosphatase 2C isoform epsilon) (PP2C-epsilon) [PP2CE]	EC 3.1.3.16
PPM1M	3p21.2	Q96MI6	Protein phosphatase 1M (Protein phosphatase 2C isoform eta) (PP2C-eta) (PP2CE) [PPM1E]	EC 3.1.3.16
PRKCD	3p21.31	Q05655	kinase C delta type (Tyrosine-protein kinase PRKCD) (nPKC-delta) [Contains: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)] [PKCD]	EC 2.7.10.2
PRKCI	3q26.3	P41743	kinase C iota type (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota) [DXS1179E]	EC 2.7.11.13
PTPN23	3p21.3	Q9H3S7	Tyrosine-protein phosphatase non-receptor type 23 (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14) [KIAA1471]	EC 3.1.3.48
PTPRG	3p14-p21	P23470	Receptor-type tyrosine-protein phosphatase gamma precursor (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) [PTPG]	EC 3.1.3.48
QARS1	3p21.1-p21.3	P47897	ligase (Glutaminyl-tRNA synthetase) (GlnRS) [QARS]	EC 6.1.1.18
RAB5A	3p22-p24	P20339	Ras-related protein Rab-5A [RAB5]	EC 3.6.5.2
RAB6B	3q21-q22.3	Q9NRW1	Ras-related protein Rab-6B	EC 3.6.5.2
RAB7A	3q22.1	P51149	Ras-related protein Rab-7a [RAB7]	EC 3.6.5.2
RAD18	3p24-p25	Q9NS91	E3 ubiquitin-protein ligase RAD18 (Postreplication repair protein RAD18) (hHR18) (hRAD18) (RING finger protein 73) (RING-type E3 ubiquitin transferase RAD18) [RNF73]	EC 2.3.2.27
RAD54L2	3p21.2	Q9Y4B4	Helicase ARIP4 (Androgen receptor-interacting protein 4) (RAD54-like protein 2) [ARIP4] [KIAA0809]	EC 3.6.4.12
RAF1	3p25	P04049	proto-oncogene serine/threonine-protein kinase (Proto-oncogene c-RAF) (cRaf) (Raf-1) [RAF]	EC 2.7.11.1
RAP2B	3q25.2	P61225	Ras-related protein Rap-2b precursor	EC 3.6.5.2
RHOA	3p21.3	P61586	protein RhoA precursor (Rho cDNA clone 12) (h12) [ARH12] [ARHA] [RHO12]	EC 3.6.5.2
RIOX2	3q11.2	Q8IUF8	Ribosomal oxygenase 2 (60S ribosomal protein L27a histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen) (Mineral dust-induced gene protein) (Nucleolar protein 52) (Ribosomal oxygenase MINA) (ROX) [MDIG] [MINA] [MINA53] [NO52]	EC 1.14.11.79
RNF123	3p21.31	Q5XPI4	E3 ubiquitin-protein ligase RNF123 (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) [KPC1] [FP1477]	EC 2.3.2.27
RNF13	3q24	O43567	E3 ubiquitin-protein ligase RNF13 precursor (RING finger protein 13) [RZF]	EC 2.3.2.27
RNF168	3q29	Q8IYW5	E3 ubiquitin-protein ligase RNF168 (hRNF168) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168)	EC 2.3.2.27
RNF7	3q22-q24	Q9UBF6	protein 2 (Rbx2) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein) [RBX2] [ROC2] [SAG]	EC 2.3.2.32
RUVBL1	3q21	Q9Y265	RuvB-like 1 (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha) [INO80H] [NMP238] [TIP49] [TIP49A]	EC 3.6.4.12
RYK	3q22	P34925	kinase RYK precursor [JTK5A]	EC 2.7.10.1
SACM1L	3p21.31	Q9NTJ5	SAC1 (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein) [KIAA0851] [SAC1]	EC 3.1.3.64
SELENOT	3q22.3	P62341	reductase-like selenoprotein T precursor (SelT) [SELT] [UNQ150/PRO176]	EC 1.8.1.9
SETD2	3p21.31	Q9BYW2	Histone-lysine N-methyltransferase SETD2 (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (SET domain-containing protein 2) (hSET2) (p231HBP) [HIF1] [HYPB] [KIAA1732] [KMT3A] [SET2] [HSPC069]	EC 2.1.1.359
SETD5	3p25.3	Q9C0A6	Histone-lysine N-methyltransferase SETD5 (SET domain-containing protein 5) [KIAA1757]	EC 2.1.1.367
SETMAR	3p26.2	Q53H47	Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion protein) (Metnase) [Includes: Histone-lysine N-methyltransferase Transposon Hsmar1 transposase	EC 2.1.1.357)
SI	3q25.2-q26.2	P14410	intestinal [Contains: Sucrase Isomaltase	EC 3.2.1.10)
SIAH2	3q25	O43255	E3 ubiquitin-protein ligase SIAH2 (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)	EC 2.3.2.27
SNRK	3p22.1	Q9NRH2	serine/threonine-protein kinase (SNF1-related kinase) [KIAA0096] [SNFRK]	EC 2.7.11.1
ST3GAL6	3q12.1	Q9Y274	Type 2 lactosamine alpha-2,3-sialyltransferase (CMP-NeuAc:beta-galactoside alpha-2,3-sialyltransferase VI) (ST3Gal VI) (ST3GalVI) (Sialyltransferase 10) [SIAT10]	EC 2.4.3.6
ST6GAL1	3q27-q28	P15907	Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (B-cell antigen CD75) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1) [SIAT1]	EC 2.4.3.1
STT3B	3p23	Q8TCJ2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (Source of immunodominant MHC-associated peptides homolog) [SIMP]	EC 2.4.99.18
SUCLG2	3p14.3	Q96I99	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial precursor (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)	EC 6.2.1.4
SUMF1	3p26.2	Q8NBK3	Formylglycine-generating enzyme precursor (FGE) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1) [PSEC0152] [UNQ3037/PRO9852]	EC 1.8.3.7
TAMM41	3p25.2	Q96BW9	Phosphatidate cytidylyltransferase, mitochondrial (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41) [C3orf31]	EC 2.7.7.41
TGFBR2	3p22	P37173	TGF-beta receptor type-2 precursor (TGFR-2) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	EC 2.7.11.30
TGM4	3p21.33-p22	P49221	gamma-glutamyltransferase 4 (Fibrinoligase) (Prostate transglutaminase) (Prostate-specific transglutaminase) (Transglutaminase P) (TG(P)) (TGP) (TGase P) (Transglutaminase-4) (TGase-4)	EC 2.3.2.13
THUMPD3	3p25.3	Q9BV44	THUMP3 (THUMP domain-containing protein 3)	EC 2.1.1.256
TKT	3p14.3	P29401	(TK)	EC 2.2.1.1
TNIK	3q26.2	Q9UKE5	and NCK-interacting protein kinase [KIAA0551]	EC 2.7.11.1
TNK2	3q29	Q07912	CDC42 kinase 1 (ACK-1) (Tyrosine kinase non-receptor protein 2) [ACK1]	EC 2.7.11.1
TOP2B	3p24	Q02880	DNA topoisomerase 2-beta (DNA topoisomerase II, beta isozyme)	EC 5.6.2.2
TRAIP	3p21.31	Q9BWF2	E3 ubiquitin-protein ligase TRAIP (RING finger protein 206) (TRAF-interacting protein) [RNF206] [TRIP]	EC 2.3.2.27
TREX1	3p21.3	Q9NSU2	Three-prime repair exonuclease 1 (3'-5' exonuclease TREX1) (Deoxyribonuclease III) (DNase III)	EC 3.1.11.2
TRIM59	3q26	Q8IWR1	Tripartite motif-containing protein 59 (RING finger protein 104) (Tumor suppressor TSBF-1) [RNF104] [TRIM57] [TSBF1]	EC 2.3.2.27
TRIM71	3p22.3	Q2Q1W2	E3 ubiquitin-protein ligase TRIM71 (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71) [LIN41]	EC 2.3.2.27
TRMT10C	3q12.3	Q7L0Y3	tRNA methyltransferase 10 homolog C precursor (HBV pre-S2 trans-regulated protein 2) (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (Renal carcinoma antigen NY-REN-49) (mRNA methyladenosine-N(1)-methyltransferase) (tRNA (adenine(9)-N(1))-methyltransferase) (tRNA (guanine(9)-N(1))-methyltransferase) [MRPP1] [RG9MTD1]	EC 2.1.1.221
TRNT1	3p25.1	Q96Q11	CCA tRNA nucleotidyltransferase 1, mitochondrial precursor (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase) [CGI-47]	EC 2.7.7.72
TSEN2	3p25.2	Q8NCE0	endonuclease subunit Sen2 (tRNA-intron endonuclease Sen2) (HsSen2) [SEN2]	EC 4.6.1.16
TXNRD3	3q21.3	Q86VQ6	Thioredoxin reductase 3 (Thioredoxin and glutathione reductase) (Thioredoxin reductase 3 intronic transcript 1) (Thioredoxin reductase 3 neighbor gene) (Thioredoxin reductase TR2) [TGR] [TRXR3] [TXNRD3IT1] [TXNRD3NB]	EC 1.8.1.9
UBA3	3p14.1	Q8TBC4	enzyme E1 catalytic subunit (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3) [UBE1C]	EC 6.2.1.64
UBE2E1	3p24.1-p25.3	P51965	Ubiquitin-conjugating enzyme E2 E1 ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1) [UBCH6]	EC 2.3.2.24
UBE2E2	3p24.2	Q96LR5	Ubiquitin-conjugating enzyme E2 E2 (E2 ubiquitin-conjugating enzyme E2) (UbcH8) (Ubiquitin carrier protein E2) (Ubiquitin-protein ligase E2) [UBCH8]	EC 2.3.2.23
ULK4	3p22.1	Q96C45	kinase ULK4 (Unc-51-like kinase 4)	EC 2.7.11.1
UMPS	3q13	P11172	5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase); Orotidine 5'-phosphate decarboxylase (ODC) (OMPD) (OMPdecase)] [OK/SW-cl.21]	EC 4.1.1.23
UROC1	3q21.2	Q96N76	hydratase (Urocanase) (Imidazolonepropionate hydrolase)	EC 4.2.1.49
USP13	3q26.2-q26.3	Q92995	Ubiquitin carboxyl-terminal hydrolase 13 (Deubiquitinating enzyme 13) (Isopeptidase T-3) (ISOT-3) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13) [ISOT3]	EC 3.4.19.12
USP19	3	O94966	Ubiquitin carboxyl-terminal hydrolase 19 (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9) [KIAA0891] [ZMYND9]	EC 3.4.19.12
USP4	3p21.3	Q13107	carboxyl-terminal hydrolase 4 (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein homolog) [UNP] [UNPH]	EC 3.4.19.12
XXYLT1	3q29	Q8NBI6	Xyloside xylosyltransferase 1 (UDP-xylose:alpha-xyloside alpha-1,3-xylosyltransferase) [C3orf21] [PSEC0251]	EC 2.4.2.62
XYLB	3p21.3-p22	O75191	kinase (Xylulokinase)	EC 2.7.1.17
ZDHHC19	3q29	Q8WVZ1	Palmitoyltransferase ZDHHC19 (Zinc finger DHHC domain-containing protein 19) (DHHC-19)	EC 2.3.1.225
ZDHHC23	3p13.31	Q8IYP9	Palmitoyltransferase ZDHHC23 (Zinc finger DHHC domain-containing protein 23) (DHHC-23) (zDHHC23)	EC 2.3.1.225
